# Rime user dictionary
#@/db_name	rime_ice
#@/db_type	userdb
#@/rime_version	1.8.5
#@/tick	269784
#@/user_id	a7db7ad9-a2db-4db2-a47e-500434d77068
a 	啊	c=2024 d=2.69461 t=269624
fa dian 	发点	c=1 d=1 t=149328
fa dian qian 	发点钱	c=1 d=1 t=123812
fa fa lao sao 	发发牢骚	c=1 d=1 t=193
fa ge 	发个	c=1 d=1 t=18163
fa ge peng you quan 	发个朋友圈	c=1 d=1 t=7153
fa gei 	发给	c=178 d=1.00206 t=266605
fa gei fei 	发给飞	c=1 d=1 t=48159
fa gei ni 	发给你	c=1 d=1 t=55018
fa gei o 	发给哦	c=1 d=1 t=156202
fa gong zi 	发工资	c=12 d=1 t=249907
fa guang 	发光	c=1 d=1 t=259437
fa guo 	发过	c=1 d=1 t=26015
fa guo qu 	发过去	c=1 d=1 t=18126
fa hui 	发挥	c=3 d=1 t=109791
fa hun 	发昏	c=1 d=1 t=22850
fa huo 	发火	c=2 d=1 t=267972
fa ku 	发苦	c=3 d=2.0342 t=109885
fa ku ba 	发苦吧	c=1 d=1 t=109652
fa lai 	发来	c=8 d=1 t=130818
fa li 	乏力	c=1 d=1 t=22645
fa li 	发力	c=2 d=1.99501 t=248391
fa lv 	法律	c=1 d=1 t=229469
fa ma 	发麻	c=1 d=1 t=208338
fa mei 	发霉	c=1 d=1 t=82667
fa ming 	发明	c=1 d=1 t=129343
fa pang 	发胖	c=1 d=1 t=82998
fa pen you quan 	发盆友圈	c=3 d=1.48675 t=184278
fa piao 	发票	c=16 d=1.10883 t=226474
fa qian 	发钱	c=2 d=1.956 t=205609
fa qun li 	发群里	c=2 d=1 t=191970
fa san 	发散	c=2 d=1.48919 t=126972
fa shao 	发烧	c=2 d=1 t=200580
fa sheng 	发生	c=26 d=1.66177 t=259073
fa sheng de 	发生的	c=1 d=1 t=4529
fa sheng le 	发生了	c=0 d=0.1 t=42043
fa sheng shi jian 	发生时间	c=1 d=1 t=155818
fa sheng zai 	发生在	c=1 d=1 t=3832
fa shi pin 	发视频	c=1 d=1 t=69680
fa song 	发送	c=3 d=1.56553 t=199721
fa tong zhi 	发通知	c=1 d=1 t=103839
fa wen 	发问	c=1 d=1 t=43023
fa xia 	发下	c=25 d=1 t=269161
fa xian 	发现	c=153 d=1.3989 t=267534
fa xian nan 	发现难	c=2 d=1.956 t=183407
fa xiao xi 	发消息	c=6 d=1 t=264281
fa xie 	发泄	c=2 d=1.91851 t=234495
fa xin xi 	发信息	c=3 d=1 t=167921
fa xing 	发型	c=3 d=1 t=89321
fa xu 	发虚	c=1 d=1 t=60597
fa yan 	发炎	c=1 d=1 t=105715
fa yu 	发育	c=2 d=1 t=87078
fa yu yin 	发语音	c=1 d=1 t=137125
fa yuan 	法院	c=1 d=1 t=219203
fa zao 	发躁	c=1 d=1 t=208415
fa zhan 	发展	c=19 d=1.00001 t=247861
fa zhang 	法杖	c=1 d=1 t=71825
fa zhi 	阀值	c=5 d=3.72776 t=238751
fa zuo 	发作	c=1 d=1.09851 t=197754
fan 	反	c=47 d=1 t=266581
fan 	烦	c=5 d=1 t=152339
fan 	犯	c=4 d=1 t=112721
fan 	饭	c=39 d=1 t=259204
fan ban 	翻版	c=1 d=1 t=217207
fan bei 	翻倍	c=3 d=1 t=239097
fan bo 	反驳	c=1 d=1 t=119469
fan cai 	饭菜	c=1 d=1 t=258566
fan cha 	反差	c=6 d=1 t=253069
fan chang 	返场	c=2 d=1 t=122275
fan chu 	翻出	c=1 d=1 t=27311
fan cuo 	犯错	c=2 d=1.95123 t=191168
fan dao 	翻到	c=1 d=1 t=76306
fan dou chi bu shang 	饭都吃不上	c=1 d=1 t=119577
fan dui 	反对	c=1 d=1 t=14511
fan duo 	繁多	c=1 d=1 t=1128
fan er 	反而	c=5 d=1 t=171816
fan er sai 	凡尔赛	c=2 d=1 t=66690
fan fu 	反复	c=6 d=1 t=178323
fan gan 	反感	c=4 d=1 t=129066
fan hua 	反话	c=1 d=1 t=3897
fan hua 	繁华	c=2 d=1 t=180865
fan hui 	返回	c=66 d=1.38678 t=262228
fan hui zhi 	返回值	c=7 d=1 t=162250
fan ji 	反击	c=1 d=1 t=181787
fan ji lu 	翻记录	c=2 d=1 t=138578
fan ka 	饭卡	c=2 d=1.99501 t=183994
fan kai 	翻开	c=5 d=1 t=267587
fan kang 	反抗	c=2 d=1.99501 t=216936
fan kui 	反馈	c=60 d=1.00435 t=269650
fan kui dao 	反馈到	c=1 d=1 t=151420
fan kui qun 	反馈群	c=7 d=1.03753 t=157246
fan kun 	犯困	c=3 d=1 t=251768
fan lai fu qu 	翻来覆去	c=2 d=1 t=111423
fan le yi ge 	犯了一个	c=1 d=1 t=13484
fan nao 	烦恼	c=2 d=1 t=230008
fan pian 	翻篇	c=1 d=1 t=47575
fan qie 	番茄	c=2 d=1.3027 t=100757
fan ren 	烦人	c=1 d=1 t=225592
fan ren lei 	反人类	c=1 d=1 t=246781
fan she hu 	反射弧	c=1 d=1 t=219489
fan shi 	凡是	c=6 d=1 t=91209
fan si 	反思	c=3 d=1 t=135584
fan si ren 	烦死人	c=1 d=1 t=141693
fan suo 	繁琐	c=1 d=1 t=295
fan tan 	反弹	c=2 d=1.87372 t=133955
fan wei 	反胃	c=2 d=1 t=42056
fan wei 	范围	c=13 d=1 t=239462
fan wei nei 	范围内	c=1 d=1 t=77041
fan xiang 	反向	c=3 d=1 t=84385
fan ya 	泛亚	c=1 d=1 t=95649
fan ye 	翻页	c=3 d=2.73765 t=245905
fan yi 	翻译	c=21 d=1.99005 t=266002
fan yi cheng 	翻译成	c=4 d=1.26258 t=259571
fan yi chu lai 	翻译出来	c=1 d=1 t=124874
fan yi ou 	翻译区	c=1 d=1 t=184596
fan ying 	反应	c=8 d=1 t=227808
fan ying 	反映	c=1 d=1 t=227809
fan yue 	翻阅	c=1 d=1 t=65399
fan zao 	烦躁	c=5 d=2.91751 t=234927
fan zhe 	反着	c=5 d=1 t=104756
fan zheng 	反正	c=187 d=1.01321 t=266338
fan zheng bu shi 	反正不是	c=1 d=1 t=131134
fan zhi 	繁殖	c=1 d=1 t=176680
fan zhuan 	翻转	c=1 d=1 t=261420
fan zi 	贩子	c=1 d=1 t=57490
fan zui 	犯罪	c=1 d=1 t=36419
fang 	坊	c=0 d=0.1 t=109647
fang 	房	c=4 d=1 t=218152
fang 	放	c=95 d=1 t=255829
fang 	方	c=4 d=1.99501 t=233549
fang an 	方案	c=49 d=1.03405 t=264120
fang bei zhi xin 	防备之心	c=1 d=1 t=76397
fang bian 	方便	c=61 d=1.03337 t=267147
fang bian mian 	方便面	c=1 d=1 t=97586
fang bing xiang 	放冰箱	c=1 d=1 t=60257
fang bu kai 	放不开	c=1 d=1 t=2248
fang bu xia 	放不下	c=2 d=1 t=202711
fang chan 	房产	c=2 d=1 t=258565
fang chan zheng 	房产证	c=5 d=1 t=244659
fang chao dian 	防潮垫	c=1 d=1 t=229987
fang chu lai 	放出来	c=1 d=1 t=145472
fang da 	放大	c=25 d=1.12038 t=264098
fang dai 	房贷	c=29 d=1 t=250854
fang dai fang zu 	房贷房租	c=1 d=1 t=83611
fang dao 	放到	c=72 d=1.00017 t=255817
fang de 	放得	c=2 d=1 t=163104
fang de 	放的	c=1 d=1 t=96051
fang di 	放低	c=1 d=1 t=185052
fang dong 	房东	c=35 d=3.18523 t=234961
fang duo 	放多	c=2 d=1 t=122468
fang fa 	方法	c=183 d=1.74826 t=259964
fang fa ming 	方法名	c=2 d=1.00027 t=165280
fang fan 	防范	c=1 d=1 t=17938
fang fang 	方方	c=1 d=1 t=229533
fang fei 	房费	c=1 d=1 t=109859
fang fu 	仿佛	c=2 d=1 t=19143
fang ge 	放个	c=1 d=1 t=196561
fang guan ju 	房管局	c=3 d=1.52729 t=168661
fang hao 	放好	c=1 d=1 t=143714
fang huo qiang 	防火墙	c=1 d=1 t=264106
fang jia 	房价	c=21 d=1.96079 t=264140
fang jia 	放假	c=15 d=2.92196 t=264145
fang jia gui 	房价贵	c=1 d=1 t=172829
fang jian 	房间	c=12 d=1 t=267465
fang jin 	放进	c=1 d=1 t=65982
fang jin qu 	放进去	c=2 d=1.47951 t=195269
fang ka 	房卡	c=1 d=1 t=40673
fang kai 	放开	c=2 d=1 t=265899
fang kong 	放空	c=1 d=1 t=234412
fang kuan 	放款	c=5 d=1 t=250612
fang kuan xin tai 	放宽心态	c=2 d=1 t=243473
fang li mian 	放里面	c=1 d=1 t=76597
fang mian 	方面	c=17 d=1 t=207172
fang ni men 	放你们	c=1 d=1 t=53289
fang pi 	放屁	c=1 d=1 t=39967
fang qi 	放弃	c=19 d=1 t=257154
fang qi ai 	放弃爱	c=1 d=1 t=205660
fang ru 	放入	c=5 d=1 t=103901
fang shai 	防晒	c=2 d=1.00309 t=85053
fang shai shuang 	防晒霜	c=3 d=1 t=77451
fang shang qu 	放上去	c=2 d=1 t=264977
fang sheng 	放生	c=1 d=1 t=309
fang shi 	方式	c=177 d=1 t=268330
fang shi lai 	方式来	c=1 d=1 t=186294
fang shou 	放手	c=1 d=1 t=228180
fang shui 	防水	c=2 d=1 t=91477
fang shui qi 	防水漆	c=2 d=1.94176 t=82521
fang song 	放松	c=1 d=1 t=16451
fang tan 	访谈	c=1 d=1 t=181990
fang wei 	方位	c=2 d=1.99005 t=85124
fang wei ma 	防伪码	c=1 d=1 t=268590
fang wei ren shang ren 	方为人上人	c=2 d=1 t=166055
fang wen 	访问	c=11 d=1 t=254512
fang wu 	房屋	c=1 d=1 t=105834
fang xia 	放下	c=3 d=1 t=195111
fang xiang 	方向	c=8 d=1 t=252058
fang xiang pan 	方向盘	c=1 d=1 t=1562
fang xiang zou 	方向走	c=1 d=1 t=27528
fang xin 	放心	c=3 d=1 t=63108
fang xue 	放学	c=1 d=1 t=223296
fang yang 	放养	c=2 d=1.92774 t=34792
fang yi fu 	放衣服	c=1 d=1 t=33246
fang yi fu 	防疫服	c=1 d=1 t=33245
fang yu 	防御	c=1 d=1 t=16420
fang yuan 	房源	c=1 d=1 t=36773
fang zai 	放在	c=13 d=1 t=237383
fang zai yan li 	放在眼里	c=1 d=1 t=1584
fang zhao 	仿照	c=1 d=1 t=29407
fang zhe 	放着	c=2 d=1 t=63229
fang zhi 	防止	c=12 d=1.956 t=259121
fang zhu 	房主	c=1 d=1 t=139707
fang zi 	房子	c=44 d=3.2316 t=247370
fang zi li 	房子里	c=1 d=1 t=247345
fang zu 	房租	c=7 d=1 t=234832
fei 	废	c=2 d=1 t=217610
fei 	肥	c=2 d=1.98511 t=179832
fei 	费	c=4 d=1 t=255155
fei 	非	c=19 d=1 t=261009
fei 	飞	c=62 d=1 t=251774
fei ben 	飞奔	c=2 d=1 t=88379
fei bi yao 	非必要	c=1 d=1 t=262650
fei chang 	非常	c=25 d=1 t=266736
fei chang hao 	非常好	c=1 d=1 t=229322
fei chang li pu 	非常离谱	c=1 d=1 t=14242
fei dei 	非得	c=1 d=1 t=144675
fei di 	飞抵	c=1 d=1 t=17159
fei die 	飞碟	c=188 d=2.00039 t=240361
fei ge 	飞鸽	c=2 d=1 t=63276
fei guo qu 	飞过去	c=1 d=1 t=84424
fei hua 	废话	c=2 d=1 t=20121
fei hui lai 	飞回来	c=2 d=1.95123 t=55754
fei ji 	飞机	c=2 d=1 t=248463
fei ji chang 	飞机场	c=3 d=1 t=180829
fei ji piao 	飞机票	c=1 d=1 t=218165
fei jin 	费劲	c=3 d=1 t=230711
fei lv bin 	菲律宾	c=3 d=1.15119 t=85643
fei meng kao wu hua 	飞盟烤五花	c=1 d=1 t=89768
fei o 	飞哦	c=1 d=1 t=267551
fei qi 	飞起	c=5 d=1.00001 t=207660
fei qi lai 	飞起来	c=2 d=1.97531 t=188949
fei qi zhong 	肺气肿	c=1 d=1 t=38722
fei qian 	费钱	c=2 d=1.9802 t=44806
fei rou 	肥肉	c=1 d=1 t=72718
fei wei 	非惟	c=1 d=1 t=6524
fei wen 	飞吻	c=1 d=1 t=53704
fei xing 	飞行	c=1 d=1 t=206975
fei yan 	肺炎	c=1 d=1 t=85077
fei yao 	非要	c=4 d=1 t=266279
fei yi 	非议	c=1 d=1 t=3751
fei yi suo si 	匪夷所思	c=1 d=1 t=3961
fei yong 	费用	c=6 d=1 t=148408
fei zhou 	非洲	c=1 d=1 t=22858
fei zhou ren 	非洲人	c=4 d=3.81336 t=16891
fen 	份	c=3 d=1 t=226253
fen 	分	c=60 d=1 t=266324
fen 	粉	c=5 d=1 t=231381
fen bao 	分包	c=3 d=2.70426 t=171492
fen bian lv 	分辨率	c=6 d=1.06235 t=223437
fen bie 	分别	c=12 d=1 t=186972
fen bie shi 	分别是	c=1 d=1 t=174937
fen bu 	分布	c=6 d=1 t=173127
fen ceng 	分层	c=42 d=2.07497 t=250109
fen cha 	分叉	c=1 d=1 t=69310
fen cha lu 	分岔路	c=1 d=1 t=92187
fen chen 	粉尘	c=1 d=1 t=33657
fen cheng 	分成	c=4 d=1.90937 t=175643
fen dan 	分担	c=1 d=1 t=193232
fen di 	粉底	c=1 d=1 t=248922
fen di ye 	粉底液	c=1 d=1 t=248940
fen duan 	分段	c=5 d=3.58106 t=263428
fen er 	份儿	c=1 d=1 t=52251
fen fang 	芬芳	c=1 d=1 t=27854
fen ge 	分割	c=2 d=1 t=83798
fen ge fu hao 	分隔符号	c=1 d=1 t=16076
fen ge xian 	分割线	c=1 d=1 t=223655
fen gong he zuo 	分工合作	c=1 d=1 t=135173
fen gong si 	分公司	c=1 d=1 t=130346
fen hua 	分化	c=1 d=1 t=185795
fen ji 	分级	c=1 d=1 t=151273
fen ju 	分居	c=2 d=1 t=232751
fen kai 	分开	c=9 d=1 t=225424
fen lan 	分栏	c=1 d=1 t=40781
fen lei 	分类	c=7 d=1 t=233409
fen li 	分离	c=1 d=1 t=10279
fen liang 	分量	c=1 d=1 t=67785
fen lie 	分裂	c=1 d=1 t=228361
fen ming 	分明	c=3 d=1.9802 t=27685
fen mu 	分母	c=2 d=1.74453 t=86387
fen nen fen nen 	粉嫩粉嫩	c=1 d=1 t=265863
fen nu 	愤怒	c=4 d=1 t=244839
fen pei 	分配	c=39 d=1.62965 t=269270
fen pi 	分批	c=9 d=1 t=212891
fen pi ci 	分批次	c=1 d=1 t=125790
fen qi 	分期	c=4 d=1 t=150036
fen qing 	愤青	c=1 d=1 t=27808
fen shi ji su 	愤世嫉俗	c=1 d=1 t=22096
fen shou 	分手	c=7 d=1 t=85447
fen shu 	分数	c=17 d=1 t=209964
fen shu ge 	分数个	c=1 d=1 t=75628
fen shu xian 	分数线	c=1 d=1 t=142975
fen si 	粉丝	c=3 d=1.99005 t=28231
fen wei 	分为	c=25 d=6.97622 t=6708
fen xi 	分析	c=21 d=4.77066 t=182063
fen xi xia 	分析下	c=1 d=1 t=505
fen xiang 	分享	c=21 d=1 t=248741
fen xiang guo 	分享过	c=1 d=1 t=9828
fen yuan 	分院	c=2 d=1.91851 t=226017
fen zhi 	分值	c=2 d=1 t=39876
fen zhi 	分支	c=152 d=1.95123 t=265594
fen zhi yi 	分之一	c=1 d=1 t=234755
fen zhong 	分钟	c=39 d=1.02171 t=244466
fen zi 	分子	c=11 d=1 t=156920
fen zi qian 	份子钱	c=2 d=1 t=68838
feng 	丰	c=1 d=1 t=59156
feng 	封	c=1 d=1 t=59276
feng 	峰	c=1 d=1 t=18408
feng 	疯	c=15 d=1 t=215696
feng 	风	c=26 d=1.01116 t=266907
feng bi 	封闭	c=4 d=1.71177 t=236008
feng can lu su 	风餐露宿	c=1 d=1 t=17108
feng ci 	讽刺	c=1 d=1 t=106463
feng fu 	丰富	c=3 d=1.99501 t=157150
feng ge 	风格	c=17 d=1.7788 t=259279
feng hao 	封号	c=5 d=1.10082 t=134339
feng huang 	凤凰	c=1 d=1 t=211205
feng huo lun 	风火轮	c=1 d=1 t=52856
feng jian lang kou 	风尖浪口	c=1 d=1 t=219063
feng jian mi xin 	封建迷信	c=1 d=1 t=6783
feng jing 	风景	c=6 d=1 t=245290
feng jing mei 	风景美	c=1 d=1 t=195287
feng kuang 	疯狂	c=128 d=1.00008 t=269372
feng kuang mo shi 	疯狂模式	c=10 d=1 t=267374
feng liang hua 	风凉话	c=1 d=1 t=200725
feng mang 	锋芒	c=1 d=1 t=849
feng ping lang jing 	风平浪静	c=2 d=1.00213 t=198820
feng shan 	风扇	c=11 d=1.01088 t=201665
feng sheng 	丰盛	c=2 d=1 t=178488
feng tiao 	封条	c=1 d=1 t=58326
feng wo mei 	蜂窝煤	c=1 d=1 t=79304
feng xi 	缝隙	c=7 d=1 t=189517
feng xian 	风险	c=20 d=1 t=227523
feng xie 	风邪	c=1 d=1 t=91533
feng ye 	枫叶	c=1 d=1 t=23441
feng yin shi 	封印石	c=1 d=1 t=147744
feng you jing 	风油精	c=2 d=1 t=231517
feng yun 	风云	c=1 d=1 t=108932
feng zhuang 	封装	c=4 d=1 t=169945
feng zhuang xing 	封装性	c=1 d=1 t=123020
feng zi 	疯子	c=4 d=1 t=145360
fo tang 	佛堂	c=1 d=1 t=191306
fo xi 	佛系	c=2 d=1 t=131612
fo xiang ge 	佛香阁	c=2 d=1.99005 t=29603
fou 	否	c=1 d=1 t=265450
fou ding 	否定	c=3 d=1.98511 t=193588
fou jue quan 	否决权	c=1 d=1 t=93193
fou ze 	否则	c=15 d=1.99005 t=264316
fu 	服	c=11 d=1 t=207065
fu 	福	c=7 d=4.58671 t=261933
fu 	负	c=2 d=1 t=216703
fu bu qi lai 	富不起来	c=1 d=1 t=16403
fu chi 	扶持	c=1 d=1 t=85340
fu chu 	付出	c=3 d=1 t=135227
fu chu 	浮出	c=1 d=1 t=4355
fu chu shui mian 	浮出水面	c=1 d=1 t=4346
fu ci 	复次	c=1 d=1 t=80954
fu dao 	辅导	c=2 d=1 t=209768
fu di 	腹地	c=1 d=1 t=242446
fu dian shu 	浮点数	c=2 d=1 t=48728
fu dian xing 	浮点型	c=2 d=1 t=253578
fu dong 	浮动	c=7 d=1.08501 t=241686
fu dong zhi 	浮动值	c=8 d=1 t=200791
fu fa 	复发	c=1 d=1 t=125960
fu fei 	付费	c=18 d=3.62747 t=266677
fu gai 	覆盖	c=8 d=1 t=227184
fu hai 	福海	c=1 d=1 t=27604
fu hao 	符号	c=4 d=1.99005 t=261124
fu he 	符合	c=4 d=1 t=202108
fu huo 	复活	c=1 d=1 t=165189
fu huo jie 	复活节	c=3 d=1 t=200204
fu jia 	附加	c=2 d=1.82283 t=24284
fu jian 	附件	c=10 d=5.58764 t=24408
fu jie dian 	父节点	c=34 d=1.97531 t=262459
fu jin 	附近	c=13 d=1 t=253305
fu jin cheng 	父进程	c=1 d=1 t=194134
fu kuan 	付款	c=3 d=1 t=247530
fu lan 	腐烂	c=1 d=1 t=4437
fu lei 	父类	c=23 d=2.95556 t=254513
fu li 	福利	c=6 d=1 t=220122
fu ling zha cai 	涪陵榨菜	c=1 d=1 t=220128
fu lu shou 	福禄寿	c=2 d=1 t=267040
fu mian 	负面	c=2 d=1 t=135576
fu mian qing xu 	负面情绪	c=1 d=1 t=135428
fu mo 	覆没	c=1 d=1 t=248651
fu mu 	父母	c=8 d=2.8345 t=247084
fu pan 	复盘	c=3 d=1 t=244439
fu po 	富婆	c=1 d=1 t=14397
fu qi 	夫妻	c=1 d=1 t=229468
fu qin 	父亲	c=2 d=1 t=242282
fu qu 	拂去	c=0 d=0.1 t=111282
fu se 	肤色	c=1 d=1 t=84603
fu she 	辐射	c=1 d=1 t=47805
fu shu 	复数	c=1 d=1 t=48729
fu shu 	负数	c=4 d=1 t=268938
fu shu 	附属	c=1 d=1 t=128303
fu wa 	福娃	c=6 d=1 t=194687
fu wen 	符文	c=5 d=1.00006 t=165008
fu wen ben 	富文本	c=1 d=1 t=98089
fu weng 	富翁	c=0 d=0.1 t=81993
fu weng lu 	富翁路	c=7 d=1 t=114458
fu weng lu 	富翁鹿	c=17 d=1.00279 t=257874
fu wu 	服务	c=2 d=1 t=233221
fu wu duan 	服务端	c=1 d=1 t=235336
fu wu fei 	服务费	c=2 d=1 t=146320
fu wu hang ye 	服务行业	c=1 d=1 t=218020
fu wu qi 	服务器	c=186 d=1.37859 t=269465
fu wu yuan 	服务员	c=14 d=1 t=216536
fu xian 	复现	c=18 d=1 t=255660
fu xian bu liao 	复现不了	c=1 d=1 t=237450
fu xuan kuang 	复选框	c=1 d=1 t=232466
fu yan 	敷衍	c=1 d=1 t=220949
fu yang fei 	抚养费	c=2 d=1 t=83612
fu yang quan 	抚养权	c=1 d=1 t=160784
fu ye 	副业	c=2 d=1.97531 t=233326
fu yi 	副翼	c=1 d=1 t=216702
fu yi qu 	拂衣去	c=1 d=1 t=268749
fu yin 	复印	c=4 d=1 t=268750
fu yin jian 	复印件	c=2 d=1 t=161860
fu yong 	复用	c=1 d=1 t=163329
fu yong 	服用	c=1 d=1 t=250299
fu you 	富有	c=0 d=0.1 t=80966
fu you shi gu 	富有事故	c=1 d=1 t=80967
fu za 	复杂	c=13 d=1 t=220835
fu zao 	浮躁	c=1 d=1 t=123325
fu ze 	负责	c=56 d=1.89236 t=269082
fu ze ren 	负责人	c=7 d=1.97531 t=262590
fu zhi 	复制	c=17 d=1 t=266239
fu zhi 	赋值	c=13 d=2.18402 t=266240
fu zhi gei 	赋值给	c=2 d=1 t=51769
fu zhi yun suan fu 	赋值运算符	c=1 d=1 t=51763
fu zhou 	福州	c=0 d=0.1 t=34985
fu zhou he 	福州和	c=1 d=1 t=34986
fu zhu ren 	副主任	c=1 d=1 t=242021
fu zhuang dian 	服装店	c=1 d=1 t=82678
ga 	嘎	c=3 d=1 t=213779
ga beng cui 	嘎嘣脆	c=1 d=1 t=248754
ga fei ou 	咖啡区	c=1 d=1 t=225562
ga ga 	嘎嘎	c=2 d=0.1 t=266686
ga ga hao yong 	嘎嘎好用	c=1 d=1 t=266687
ga na 	戛纳	c=0 d=0.1 t=248886
ga na ma 	戛纳嘛	c=1 d=1 t=248887
ga yang yao zi 	嘎羊腰子	c=1 d=1 t=163000
gai 	改	c=1114 d=2.81459 t=269741
gai 	盖	c=15 d=2.29039 t=264924
gai 	该	c=99 d=1.00001 t=262618
gai ba 	该把	c=2 d=1 t=99295
gai bei zi 	盖被子	c=6 d=1 t=192763
gai bian 	改变	c=19 d=1 t=230702
gai bu 	改不	c=0 d=0.1 t=256484
gai bu dui 	改不对	c=1 d=1 t=256485
gai bu liao 	改不了	c=1 d=1 t=131498
gai bu wan 	改不完	c=1 d=1 t=163862
gai cheng 	改成	c=86 d=1.00065 t=267756
gai chi fan 	该吃饭	c=1 d=1 t=158140
gai cuo 	改错	c=2 d=1 t=191860
gai da shu 	改大数	c=1 d=1 t=169344
gai dao 	改到	c=5 d=1 t=217762
gai de 	改得	c=1 d=1 t=187120
gai di ceng 	改底层	c=2 d=1 t=34902
gai diao 	改掉	c=1 d=1 t=259474
gai dong 	改动	c=30 d=1 t=260318
gai fa 	改法	c=1 d=1 t=85192
gai fang fa 	该方法	c=1 d=1 t=155720
gai fang wu 	该房屋	c=1 d=1 t=143463
gai gai 	改改	c=1 d=1 t=257543
gai ge 	改个	c=1 d=1 t=226683
gai ge 	改革	c=6 d=1.98511 t=209750
gai guo 	改过	c=8 d=1 t=259392
gai guo hou 	改过后	c=1 d=1 t=227176
gai hao 	改好	c=6 d=1.16948 t=145550
gai jia ban 	改加班	c=1 d=1 t=187272
gai jin 	改进	c=16 d=1 t=215763
gai kou 	改口	c=1 d=1 t=201476
gai lv 	概率	c=22 d=1 t=208444
gai mi jue 	改秘诀	c=1 d=1 t=269742
gai na 	该拿	c=2 d=1 t=173453
gai nian 	概念	c=15 d=1 t=260207
gai o 	改哦	c=1 d=1 t=201007
gai qian 	改签	c=1 d=1 t=38899
gai qu 	改去	c=1 d=1 t=253249
gai shan 	改善	c=2 d=1.956 t=5765
gai shu 	概述	c=1 d=1 t=233364
gai si 	该死	c=2 d=1 t=4434
gai tuan 	该团	c=0 d=0.1 t=2890
gai tuan jiang 	该团讲	c=1 d=1 t=2891
gai wan 	改完	c=13 d=1 t=262528
gai wen dang 	改文档	c=1 d=1 t=179134
gai wen jian 	该文件	c=1 d=1 t=266646
gai xia 	改下	c=81 d=1 t=269550
gai xiang 	该项	c=1 d=1 t=6118
gai xu qiu 	改需求	c=1 d=1 t=70734
gai yi ban 	改一般	c=1 d=1 t=57412
gai yi xia 	改一下	c=1 d=1 t=40383
gai zheng 	改正	c=3 d=2.89904 t=28479
gai zhi qian 	改之前	c=1 d=1 t=47522
gai zi ti 	改字体	c=1 d=1 t=246588
gan 	干	c=66 d=1 t=253718
gan 	感	c=8 d=1 t=217377
gan 	敢	c=4 d=1.9802 t=65596
gan 	赶	c=14 d=1 t=267483
gan ba 	干吧	c=1 d=1 t=132826
gan bei 	干杯	c=1 d=1 t=2004
gan bu dao 	赶不到	c=1 d=1 t=175349
gan bu dong 	肝不动	c=1 d=1 t=123311
gan bu gan 	干不干	c=1 d=1 t=52976
gan bu gan 	敢不敢	c=3 d=1 t=212704
gan bu hao 	干不好	c=1 d=1 t=228176
gan bu liao 	干不了	c=2 d=1 t=145424
gan cao pian 	甘草片	c=1 d=1 t=201529
gan cui 	干脆	c=4 d=1 t=208382
gan cui dian 	干脆点	c=1 d=1 t=264118
gan dao 	感到	c=3 d=1.88692 t=217785
gan dao 	赶到	c=2 d=1 t=169281
gan diao 	干掉	c=22 d=1 t=269730
gan en 	感恩	c=1 d=1 t=185078
gan ga 	尴尬	c=13 d=1 t=164929
gan gong 	赶工	c=1 d=1 t=220481
gan guan 	感官	c=1 d=1 t=255194
gan guang 	感光	c=1 d=1 t=20065
gan guo 	干过	c=1 d=1 t=15213
gan hao 	干好	c=1 d=1 t=160404
gan hui qu 	赶回去	c=2 d=1 t=51713
gan huo 	干活	c=1 d=1 t=121768
gan huo 	干货	c=1 d=1 t=156067
gan jin 	赶紧	c=19 d=1 t=247992
gan jin du 	赶进度	c=9 d=1 t=210667
gan jin hui qu 	赶紧回去	c=1 d=1 t=102074
gan jin pao 	赶紧跑	c=1 d=1 t=73230
gan jin qu 	赶紧去	c=1 d=1 t=71202
gan jing 	干净	c=1 d=1 t=78042
gan ju 	柑橘	c=3 d=1 t=183390
gan jue 	感觉	c=444 d=1.00097 t=268598
gan jue ren 	感觉人	c=1 d=1 t=249665
gan kuai 	赶快	c=4 d=1 t=232099
gan lan 	甘蓝	c=2 d=1 t=131750
gan ma 	干吗	c=1 d=1 t=248888
gan ma 	干嘛	c=165 d=1.00347 t=269778
gan ma ya 	干嘛呀	c=1 d=1 t=122714
gan mang 	赶忙	c=1 d=1 t=227716
gan mao 	感冒	c=34 d=1.99252 t=251111
gan mao chong ji 	感冒冲剂	c=0 d=0.1 t=39555
gan mao chong ji a 	感冒冲剂啊	c=1 d=1 t=39556
gan mao yao 	感冒药	c=5 d=1 t=250692
gan qi lai 	干起来	c=1 d=1 t=168882
gan qing 	感情	c=7 d=1 t=250313
gan qing dan 	感情淡	c=1 d=1 t=83944
gan qing xian 	感情线	c=2 d=1.94649 t=247194
gan sha 	干啥	c=35 d=1 t=266865
gan sha zi 	干啥子	c=1 d=1 t=228612
gan shang 	赶上	c=3 d=1 t=266698
gan shi jian 	赶时间	c=1 d=1 t=80355
gan shou 	感受	c=2 d=1 t=86250
gan shou dao 	感受到	c=2 d=1 t=35193
gan shou zhe 	感受着	c=1 d=1 t=27447
gan si dui 	敢死队	c=4 d=1 t=244177
gan wu 	感悟	c=3 d=1.12809 t=119619
gan xiang 	感想	c=1 d=1 t=45763
gan xie 	感谢	c=15 d=1 t=258138
gan xie gan xie 	感谢感谢	c=2 d=1 t=247965
gan xing 	感性	c=1 d=1 t=22606
